library,feature,read_score,write_score
zavora-xlsx,cell_values,,0
zavora-xlsx,formulas,,3
zavora-xlsx,text_formatting,,3
zavora-xlsx,background_colors,,3
zavora-xlsx,number_formats,,3
zavora-xlsx,alignment,,1
zavora-xlsx,borders,,0
zavora-xlsx,dimensions,,1
zavora-xlsx,multiple_sheets,,3
zavora-xlsx,merged_cells,,3
zavora-xlsx,conditional_formatting,,0
zavora-xlsx,data_validation,,0
zavora-xlsx,hyperlinks,,0
zavora-xlsx,images,,0
zavora-xlsx,pivot_tables,,
zavora-xlsx,comments,,3
zavora-xlsx,freeze_panes,,0
zavora-xlsx,named_ranges,,3
zavora-xlsx,tables,,1
zavora-xlsx,sheet_protection,,0
zavora-xlsx,page_setup,,0
zavora-xlsx,chart_anchor,,0
