library,feature,read_score,write_score
openpyxl,cell_values,3,3
xlsxwriter,cell_values,,3
python-calamine,cell_values,1,
aspose-cells-foss,cell_values,1,3
wolfxl,cell_values,3,3
pylightxl,cell_values,3,0
xlrd,cell_values,,
pyexcel,cell_values,3,0
xlwt,cell_values,,3
pandas,cell_values,1,3
xlsxwriter-constmem,cell_values,,3
openpyxl-readonly,cell_values,3,
polars,cell_values,1,
tablib,cell_values,3,3
openpyxl,formulas,3,3
xlsxwriter,formulas,,3
python-calamine,formulas,0,
aspose-cells-foss,formulas,3,3
wolfxl,formulas,3,3
pylightxl,formulas,0,3
xlrd,formulas,,
pyexcel,formulas,0,3
xlwt,formulas,,0
pandas,formulas,0,3
xlsxwriter-constmem,formulas,,3
openpyxl-readonly,formulas,3,
polars,formulas,0,
tablib,formulas,0,3
openpyxl,text_formatting,3,3
xlsxwriter,text_formatting,,3
python-calamine,text_formatting,0,
aspose-cells-foss,text_formatting,1,0
wolfxl,text_formatting,3,3
pylightxl,text_formatting,0,0
xlrd,text_formatting,,
pyexcel,text_formatting,0,0
xlwt,text_formatting,,1
pandas,text_formatting,0,0
xlsxwriter-constmem,text_formatting,,3
openpyxl-readonly,text_formatting,0,
polars,text_formatting,0,
tablib,text_formatting,0,0
openpyxl,background_colors,3,3
xlsxwriter,background_colors,,3
python-calamine,background_colors,0,
aspose-cells-foss,background_colors,3,3
wolfxl,background_colors,3,3
pylightxl,background_colors,0,0
xlrd,background_colors,,
pyexcel,background_colors,0,0
xlwt,background_colors,,1
pandas,background_colors,0,0
xlsxwriter-constmem,background_colors,,3
openpyxl-readonly,background_colors,0,
polars,background_colors,0,
tablib,background_colors,0,0
openpyxl,number_formats,3,3
xlsxwriter,number_formats,,3
python-calamine,number_formats,0,
aspose-cells-foss,number_formats,3,3
wolfxl,number_formats,3,3
pylightxl,number_formats,0,0
xlrd,number_formats,,
pyexcel,number_formats,0,0
xlwt,number_formats,,3
pandas,number_formats,0,0
xlsxwriter-constmem,number_formats,,3
openpyxl-readonly,number_formats,0,
polars,number_formats,0,
tablib,number_formats,0,0
openpyxl,alignment,3,3
xlsxwriter,alignment,,1
python-calamine,alignment,0,
aspose-cells-foss,alignment,1,1
wolfxl,alignment,3,3
pylightxl,alignment,0,0
xlrd,alignment,,
pyexcel,alignment,0,0
xlwt,alignment,,3
pandas,alignment,0,0
xlsxwriter-constmem,alignment,,1
openpyxl-readonly,alignment,0,
polars,alignment,0,
tablib,alignment,0,0
openpyxl,borders,3,3
xlsxwriter,borders,,3
python-calamine,borders,0,
aspose-cells-foss,borders,1,1
wolfxl,borders,3,3
pylightxl,borders,0,0
xlrd,borders,,
pyexcel,borders,0,0
xlwt,borders,,1
pandas,borders,0,0
xlsxwriter-constmem,borders,,3
openpyxl-readonly,borders,0,
polars,borders,0,
tablib,borders,0,0
openpyxl,dimensions,3,3
xlsxwriter,dimensions,,3
python-calamine,dimensions,0,
aspose-cells-foss,dimensions,1,3
wolfxl,dimensions,3,3
pylightxl,dimensions,0,0
xlrd,dimensions,,
pyexcel,dimensions,0,0
xlwt,dimensions,,1
pandas,dimensions,0,0
xlsxwriter-constmem,dimensions,,1
openpyxl-readonly,dimensions,0,
polars,dimensions,0,
tablib,dimensions,0,0
openpyxl,multiple_sheets,3,3
xlsxwriter,multiple_sheets,,3
python-calamine,multiple_sheets,3,
aspose-cells-foss,multiple_sheets,3,3
wolfxl,multiple_sheets,3,3
pylightxl,multiple_sheets,3,3
xlrd,multiple_sheets,,
pyexcel,multiple_sheets,3,3
xlwt,multiple_sheets,,3
pandas,multiple_sheets,3,3
xlsxwriter-constmem,multiple_sheets,,3
openpyxl-readonly,multiple_sheets,3,
polars,multiple_sheets,1,
tablib,multiple_sheets,3,3
openpyxl,merged_cells,3,3
xlsxwriter,merged_cells,,3
python-calamine,merged_cells,0,
aspose-cells-foss,merged_cells,3,3
wolfxl,merged_cells,3,3
pylightxl,merged_cells,0,0
xlrd,merged_cells,,
pyexcel,merged_cells,0,0
xlwt,merged_cells,,0
pandas,merged_cells,0,0
xlsxwriter-constmem,merged_cells,,3
openpyxl-readonly,merged_cells,0,
polars,merged_cells,0,
tablib,merged_cells,0,0
openpyxl,conditional_formatting,3,3
xlsxwriter,conditional_formatting,,3
python-calamine,conditional_formatting,0,
aspose-cells-foss,conditional_formatting,3,3
wolfxl,conditional_formatting,0,3
pylightxl,conditional_formatting,0,0
xlrd,conditional_formatting,,
pyexcel,conditional_formatting,0,0
xlwt,conditional_formatting,,0
pandas,conditional_formatting,0,0
xlsxwriter-constmem,conditional_formatting,,3
openpyxl-readonly,conditional_formatting,0,
polars,conditional_formatting,0,
tablib,conditional_formatting,0,0
openpyxl,data_validation,3,3
xlsxwriter,data_validation,,3
python-calamine,data_validation,0,
aspose-cells-foss,data_validation,3,3
wolfxl,data_validation,3,3
pylightxl,data_validation,0,0
xlrd,data_validation,,
pyexcel,data_validation,0,0
xlwt,data_validation,,0
pandas,data_validation,0,0
xlsxwriter-constmem,data_validation,,3
openpyxl-readonly,data_validation,0,
polars,data_validation,0,
tablib,data_validation,0,0
openpyxl,hyperlinks,3,3
xlsxwriter,hyperlinks,,3
python-calamine,hyperlinks,0,
aspose-cells-foss,hyperlinks,0,3
wolfxl,hyperlinks,3,3
pylightxl,hyperlinks,0,0
xlrd,hyperlinks,,
pyexcel,hyperlinks,0,0
xlwt,hyperlinks,,0
pandas,hyperlinks,0,0
xlsxwriter-constmem,hyperlinks,,3
openpyxl-readonly,hyperlinks,0,
polars,hyperlinks,0,
tablib,hyperlinks,0,0
openpyxl,images,3,3
xlsxwriter,images,,3
python-calamine,images,0,
aspose-cells-foss,images,0,0
wolfxl,images,3,3
pylightxl,images,0,0
xlrd,images,,
pyexcel,images,0,0
xlwt,images,,0
pandas,images,0,0
xlsxwriter-constmem,images,,0
openpyxl-readonly,images,0,
polars,images,0,
tablib,images,0,0
openpyxl,pivot_tables,,
xlsxwriter,pivot_tables,,
python-calamine,pivot_tables,,
aspose-cells-foss,pivot_tables,,
wolfxl,pivot_tables,,
pylightxl,pivot_tables,,
xlrd,pivot_tables,,
pyexcel,pivot_tables,,
xlwt,pivot_tables,,
pandas,pivot_tables,,
xlsxwriter-constmem,pivot_tables,,
openpyxl-readonly,pivot_tables,,
polars,pivot_tables,,
tablib,pivot_tables,,
openpyxl,comments,3,3
xlsxwriter,comments,,3
python-calamine,comments,0,
aspose-cells-foss,comments,3,0
wolfxl,comments,3,3
pylightxl,comments,0,0
xlrd,comments,,
pyexcel,comments,0,0
xlwt,comments,,0
pandas,comments,0,0
xlsxwriter-constmem,comments,,0
openpyxl-readonly,comments,0,
polars,comments,0,
tablib,comments,0,0
openpyxl,freeze_panes,3,3
xlsxwriter,freeze_panes,,3
python-calamine,freeze_panes,0,
aspose-cells-foss,freeze_panes,3,3
wolfxl,freeze_panes,3,3
pylightxl,freeze_panes,0,0
xlrd,freeze_panes,,
pyexcel,freeze_panes,0,0
xlwt,freeze_panes,,0
pandas,freeze_panes,0,0
xlsxwriter-constmem,freeze_panes,,3
openpyxl-readonly,freeze_panes,0,
polars,freeze_panes,0,
tablib,freeze_panes,0,0
openpyxl,named_ranges,3,3
xlsxwriter,named_ranges,,0
python-calamine,named_ranges,0,
aspose-cells-foss,named_ranges,2,3
wolfxl,named_ranges,3,2
pylightxl,named_ranges,0,0
xlrd,named_ranges,,
pyexcel,named_ranges,0,0
xlwt,named_ranges,,0
pandas,named_ranges,0,0
xlsxwriter-constmem,named_ranges,,0
openpyxl-readonly,named_ranges,0,
polars,named_ranges,0,
tablib,named_ranges,0,0
openpyxl,tables,3,3
xlsxwriter,tables,,0
python-calamine,tables,0,
aspose-cells-foss,tables,1,1
wolfxl,tables,3,3
pylightxl,tables,0,0
xlrd,tables,,
pyexcel,tables,0,0
xlwt,tables,,0
pandas,tables,0,0
xlsxwriter-constmem,tables,,0
openpyxl-readonly,tables,0,
