library,feature,read_score,write_score
apache-poi,cell_values,,3
excelize,cell_values,,3
apache-poi,formulas,,3
excelize,formulas,,3
apache-poi,text_formatting,,3
excelize,text_formatting,,3
apache-poi,background_colors,,3
excelize,background_colors,,3
apache-poi,number_formats,,3
excelize,number_formats,,3
apache-poi,alignment,,3
excelize,alignment,,3
apache-poi,borders,,3
excelize,borders,,3
apache-poi,dimensions,,3
excelize,dimensions,,3
apache-poi,multiple_sheets,,3
excelize,multiple_sheets,,3
apache-poi,merged_cells,,3
excelize,merged_cells,,3
apache-poi,conditional_formatting,,3
excelize,conditional_formatting,,3
apache-poi,data_validation,,3
excelize,data_validation,,3
apache-poi,hyperlinks,,3
excelize,hyperlinks,,3
apache-poi,images,,3
excelize,images,,3
apache-poi,pivot_tables,,
excelize,pivot_tables,,
apache-poi,comments,,3
excelize,comments,,3
apache-poi,freeze_panes,,3
excelize,freeze_panes,,3
apache-poi,named_ranges,,3
excelize,named_ranges,,3
apache-poi,tables,,3
excelize,tables,,3
