library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values,1.361917,1.693667,,,,1.422,1.607166,,,
xlsxwriter,cell_values,,,,,,1.896542,2.429167,,,
python-calamine,cell_values,0.9335,0.955959,,,,,,,,
wolfxl,cell_values,0.241209,0.26525,,,,0.189541,0.203458,,,
pylightxl,cell_values,1.405542,1.560333,,,,0.389292,0.427834,,,
xlrd,cell_values,,,,,,,,,,
pyexcel,cell_values,1.51475,1.830125,,,,1.456125,1.550875,,,
xlwt,cell_values,,,,,,0.241916,0.296459,,,
pandas,cell_values,1.785625,2.021625,,,,1.794833,2.093708,,,
xlsxwriter-constmem,cell_values,,,,,,1.852958,2.368875,,,
openpyxl-readonly,cell_values,4.995875,5.261125,,,,,,,,
polars,cell_values,0.33,0.394792,,,,,,,,
tablib,cell_values,1.367167,1.537625,,,,1.520875,1.706666,,,
openpyxl,formulas,1.165792,1.283417,,,,1.531209,1.807042,,,
xlsxwriter,formulas,,,,,,1.778625,2.162458,,,
python-calamine,formulas,0.164917,0.168209,,,,,,,,
wolfxl,formulas,0.188083,0.194292,,,,0.190208,0.202959,,,
pylightxl,formulas,1.196708,1.26125,,,,0.3065,0.337292,,,
xlrd,formulas,,,,,,,,,,
pyexcel,formulas,1.301334,1.521333,,,,1.647333,1.94575,,,
xlwt,formulas,,,,,,0.275916,0.338333,,,
pandas,formulas,1.638125,1.862208,,,,1.927167,2.31925,,,
xlsxwriter-constmem,formulas,,,,,,2.031792,2.625833,,,
openpyxl-readonly,formulas,1.439083,1.957875,,,,,,,,
polars,formulas,0.411292,0.578,,,,,,,,
tablib,formulas,1.304958,1.519916,,,,1.618542,2.006958,,,
openpyxl,text_formatting,1.736334,1.821,,,,2.03,2.710166,,,
xlsxwriter,text_formatting,,,,,,2.392375,3.286083,,,
python-calamine,text_formatting,0.093584,0.142417,,,,,,,,
wolfxl,text_formatting,0.364708,0.37975,,,,0.234375,0.316041,,,
pylightxl,text_formatting,1.553667,1.711875,,,,0.412,0.548292,,,
xlrd,text_formatting,,,,,,,,,,
pyexcel,text_formatting,1.930209,2.339125,,,,1.441125,1.562958,,,
xlwt,text_formatting,,,,,,0.345875,0.406959,,,
pandas,text_formatting,2.105833,2.319084,,,,1.768625,2.206167,,,
xlsxwriter-constmem,text_formatting,,,,,,2.283042,2.61875,,,
openpyxl-readonly,text_formatting,1.500667,1.7765,,,,,,,,
polars,text_formatting,0.343208,0.431125,,,,,,,,
tablib,text_formatting,1.908125,2.196125,,,,1.718417,1.95325,,,
openpyxl,background_colors,1.079833,1.359958,,,,1.506458,1.900583,,,
xlsxwriter,background_colors,,,,,,2.281083,2.644333,,,
python-calamine,background_colors,0.064041,0.065583,,,,,,,,
wolfxl,background_colors,0.27125,0.279292,,,,0.169583,0.27175,,,
pylightxl,background_colors,1.027833,1.170291,,,,0.33175,0.45125,,,
xlrd,background_colors,,,,,,,,,,
pyexcel,background_colors,1.169,1.34475,,,,1.398834,1.582667,,,
xlwt,background_colors,,,,,,0.206125,0.220167,,,
pandas,background_colors,1.410209,1.803292,,,,1.820166,2.265792,,,
xlsxwriter-constmem,background_colors,,,,,,2.033792,2.679958,,,
openpyxl-readonly,background_colors,0.90925,0.97875,,,,,,,,
polars,background_colors,0.326292,0.432917,,,,,,,,
tablib,background_colors,1.086584,1.469084,,,,1.502583,1.902458,,,
openpyxl,number_formats,1.178,1.395291,,,,1.701792,2.264542,,,
xlsxwriter,number_formats,,,,,,2.093,2.500084,,,
python-calamine,number_formats,0.066416,0.0695,,,,,,,,
wolfxl,number_formats,0.322875,0.332208,,,,0.178208,0.199041,,,
pylightxl,number_formats,1.068208,1.227709,,,,0.456875,0.685166,,,
xlrd,number_formats,,,,,,,,,,
pyexcel,number_formats,1.2475,1.536708,,,,1.46125,1.867208,,,
xlwt,number_formats,,,,,,0.216959,0.299667,,,
pandas,number_formats,1.509708,2.142167,,,,1.976875,2.4295,,,
xlsxwriter-constmem,number_formats,,,,,,2.081416,2.631792,,,
openpyxl-readonly,number_formats,0.905958,0.988292,,,,,,,,
polars,number_formats,0.262166,0.317834,,,,,,,,
tablib,number_formats,1.076209,1.123667,,,,1.345666,1.567375,,,
openpyxl,alignment,1.277958,1.552958,,,,1.499542,1.693,,,
xlsxwriter,alignment,,,,,,2.18,2.737417,,,
python-calamine,alignment,0.060875,0.064958,,,,,,,,
wolfxl,alignment,0.288875,0.295166,,,,0.193625,0.201125,,,
pylightxl,alignment,,,,,,0.343709,0.382959,,,
xlrd,alignment,,,,,,,,,,
pyexcel,alignment,1.430583,1.685291,,,,1.504375,1.662292,,,
xlwt,alignment,,,,,,0.239709,0.297167,,,
pandas,alignment,1.487042,1.695584,,,,1.695875,2.1205,,,
xlsxwriter-constmem,alignment,,,,,,1.8725,2.337291,,,
openpyxl-readonly,alignment,0.964375,1.040542,,,,,,,,
polars,alignment,0.268875,0.339792,,,,,,,,
tablib,alignment,1.301042,1.423875,,,,1.374458,1.554666,,,
openpyxl,borders,1.853584,2.056084,,,,2.452875,3.0435,,,
xlsxwriter,borders,,,,,,2.356459,2.735,,,
python-calamine,borders,0.069459,0.071833,,,,,,,,
wolfxl,borders,0.348417,0.358542,,,,0.272708,0.278292,,,
pylightxl,borders,,,,,,0.422166,0.46025,,,
xlrd,borders,,,,,,,,,,
pyexcel,borders,1.830292,1.910584,,,,1.541875,1.92025,,,
xlwt,borders,,,,,,0.428917,0.486208,,,
pandas,borders,2.08375,2.408083,,,,1.825667,2.0515,,,
xlsxwriter-constmem,borders,,,,,,2.545625,4.061208,,,
openpyxl-readonly,borders,1.298,1.369709,,,,,,,,
polars,borders,0.292833,0.356833,,,,,,,,
tablib,borders,1.78175,2.208125,,,,1.564375,2.347042,,,
openpyxl,dimensions,0.987,1.04125,,,,1.287125,1.483792,,,
xlsxwriter,dimensions,,,,,,1.708167,1.997416,,,
python-calamine,dimensions,0.062333,0.064292,,,,,,,,
wolfxl,dimensions,0.083958,0.086166,,,,0.163209,0.168958,,,
pylightxl,dimensions,0.956292,1.055875,,,,0.266042,0.311834,,,
xlrd,dimensions,,,,,,,,,,
pyexcel,dimensions,1.089333,1.35175,,,,1.301542,1.424041,,,
xlwt,dimensions,,,,,,0.15175,0.178041,,,
pandas,dimensions,1.283584,1.576458,,,,1.414333,1.706667,,,
xlsxwriter-constmem,dimensions,,,,,,1.776791,2.176375,,,
openpyxl-readonly,dimensions,0.8705,1.037459,,,,,,,,
polars,dimensions,0.317375,0.399041,,,,,,,,
tablib,dimensions,1.002542,1.286,,,,1.329667,1.716666,,,
openpyxl,multiple_sheets,1.334666,1.833292,,,,1.817333,2.007875,,,
xlsxwriter,multiple_sheets,,,,,,2.293208,2.538958,,,
python-calamine,multiple_sheets,0.06725,0.070708,,,,,,,,
wolfxl,multiple_sheets,0.065166,0.068459,,,,0.187083,0.192584,,,
pylightxl,multiple_sheets,1.389208,1.426541,,,,0.353625,0.420875,,,
xlrd,multiple_sheets,,,,,,,,,,
pyexcel,multiple_sheets,1.453041,1.517,,,,1.964084,2.614125,,,
xlwt,multiple_sheets,,,,,,0.192834,0.201666,,,
pandas,multiple_sheets,1.837584,2.333333,,,,2.56125,3.03575,,,
xlsxwriter-constmem,multiple_sheets,,,,,,2.607292,3.172042,,,
openpyxl-readonly,multiple_sheets,1.016084,1.070042,,,,,,,,
polars,multiple_sheets,0.618458,0.766875,,,,,,,,
tablib,multiple_sheets,1.364417,1.604458,,,,2.040958,2.555375,,,
openpyxl,merged_cells,1.284375,1.444583,,,,1.468542,1.734292,,,
xlsxwriter,merged_cells,,,,,,1.846166,2.479791,,,
python-calamine,merged_cells,0.063542,0.06875,,,,,,,,
wolfxl,merged_cells,0.299834,0.31075,,,,0.162375,0.168,,,
pylightxl,merged_cells,1.033208,1.166875,,,,0.33775,0.386167,,,
xlrd,merged_cells,,,,,,,,,,
pyexcel,merged_cells,1.40275,1.548917,,,,1.364833,1.582292,,,
xlwt,merged_cells,,,,,,0.1995,0.21375,,,
pandas,merged_cells,1.399,1.814709,,,,1.717,2.222416,,,
xlsxwriter-constmem,merged_cells,,,,,,1.912834,2.241667,,,
openpyxl-readonly,merged_cells,0.910542,1.144792,,,,,,,,
polars,merged_cells,0.26,0.376417,,,,,,,,
tablib,merged_cells,1.103583,1.318875,,,,1.354375,1.6305,,,
openpyxl,conditional_formatting,1.424834,1.751916,,,,1.842792,2.275542,,,
xlsxwriter,conditional_formatting,,,,,,1.871333,2.270209,,,
python-calamine,conditional_formatting,0.056542,0.059416,,,,,,,,
wolfxl,conditional_formatting,0.216666,0.221584,,,,0.187042,0.207875,,,
pylightxl,conditional_formatting,,,,,,0.307292,0.331041,,,
xlrd,conditional_formatting,,,,,,,,,,
pyexcel,conditional_formatting,1.528084,1.822,,,,1.563417,1.702333,,,
xlwt,conditional_formatting,,,,,,0.158167,0.166125,,,
pandas,conditional_formatting,1.795375,2.179666,,,,2.160416,2.994041,,,
xlsxwriter-constmem,conditional_formatting,,,,,,2.028792,2.710584,,,
openpyxl-readonly,conditional_formatting,0.961208,1.00375,,,,,,,,
polars,conditional_formatting,0.397083,0.512084,,,,,,,,
tablib,conditional_formatting,1.422,1.650542,,,,1.511791,1.58,,,
openpyxl,data_validation,1.325875,1.522834,,,,1.378917,1.61275,,,
xlsxwriter,data_validation,,,,,,1.647709,2.198917,,,
python-calamine,data_validation,0.053708,0.055875,,,,,,,,
