library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values_10k,40.265625,40.908709,10000,cells,248350.79549864182,40.696666,44.040166,10000,cells,245720.37424392454
xlsxwriter,cell_values_10k,,,,,,47.165167,48.09525,10000,cells,212020.87549059247
python-calamine,cell_values_10k,38735.742292,38751.928667,10000,cells,258.15950355662284,,,,,
pylightxl,cell_values_10k,,,,,,32.140333,32.296792,10000,cells,311135.54423969414
xlrd,cell_values_10k,,,,,,,,,,
pyexcel,cell_values_10k,162.556667,164.292834,10000,cells,61517.00932696903,32.670291,38.114083,10000,cells,306088.4887740976
xlwt,cell_values_10k,,,,,,20.577583,20.5975,10000,cells,485965.7229908877
pandas,cell_values_10k,88.602583,89.053792,10000,cells,112863.52678905535,47.481333,62.074041,10000,cells,210609.08294213223
xlsxwriter-constmem,cell_values_10k,,,,,,34.090708,49.014792,10000,cells,293335.06361909525
openpyxl-readonly,cell_values_10k,108559.126208,108605.1125,10000,cells,92.11570090238138,,,,,
polars,cell_values_10k,38.288834,38.944167,10000,cells,261172.74816987113,,,,,
tablib,cell_values_10k,31.48825,31.620958,10000,cells,317578.7793859614,44.612583,45.428,10000,cells,224152.00662109163
openpyxl,cell_values_10k_bulk_read,29.678583,49.035333,10000,cells,336943.3102651835,,,,,
xlsxwriter,cell_values_10k_bulk_read,,,,,,,,,,
python-calamine,cell_values_10k_bulk_read,,,,,,,,,,
pylightxl,cell_values_10k_bulk_read,,,,,,,,,,
xlrd,cell_values_10k_bulk_read,,,,,,,,,,
pyexcel,cell_values_10k_bulk_read,,,,,,,,,,
xlwt,cell_values_10k_bulk_read,,,,,,,,,,
pandas,cell_values_10k_bulk_read,25.814708,26.133125,10000,cells,387376.06483869586,,,,,
xlsxwriter-constmem,cell_values_10k_bulk_read,,,,,,,,,,
openpyxl-readonly,cell_values_10k_bulk_read,26.212666,26.498791,10000,cells,381494.9612527013,,,,,
polars,cell_values_10k_bulk_read,7.674667,7.928458,10000,cells,1302988.12964784,,,,,
