library,feature,read_score,write_score
pycalumya,cell_values,3,3
calamine-styled,cell_values,3,
rust_xlsxwriter,cell_values,,3
pycalumya,formulas,3,3
calamine-styled,formulas,3,
rust_xlsxwriter,formulas,,3
pycalumya,text_formatting,3,3
calamine-styled,text_formatting,3,
rust_xlsxwriter,text_formatting,,3
pycalumya,background_colors,3,3
calamine-styled,background_colors,3,
rust_xlsxwriter,background_colors,,3
pycalumya,number_formats,3,3
calamine-styled,number_formats,3,
rust_xlsxwriter,number_formats,,3
pycalumya,alignment,3,3
calamine-styled,alignment,3,
rust_xlsxwriter,alignment,,3
pycalumya,borders,1,3
calamine-styled,borders,1,
rust_xlsxwriter,borders,,3
pycalumya,dimensions,3,3
calamine-styled,dimensions,3,
rust_xlsxwriter,dimensions,,3
pycalumya,multiple_sheets,3,3
calamine-styled,multiple_sheets,3,
rust_xlsxwriter,multiple_sheets,,3
pycalumya,merged_cells,3,3
calamine-styled,merged_cells,3,
rust_xlsxwriter,merged_cells,,3
pycalumya,conditional_formatting,3,3
calamine-styled,conditional_formatting,3,
rust_xlsxwriter,conditional_formatting,,3
pycalumya,data_validation,3,3
calamine-styled,data_validation,3,
rust_xlsxwriter,data_validation,,3
pycalumya,hyperlinks,3,3
calamine-styled,hyperlinks,3,
rust_xlsxwriter,hyperlinks,,3
pycalumya,images,0,0
calamine-styled,images,0,
rust_xlsxwriter,images,,0
pycalumya,pivot_tables,,
calamine-styled,pivot_tables,,
rust_xlsxwriter,pivot_tables,,
pycalumya,comments,3,3
calamine-styled,comments,3,
rust_xlsxwriter,comments,,3
pycalumya,freeze_panes,3,3
calamine-styled,freeze_panes,3,
rust_xlsxwriter,freeze_panes,,3
pycalumya,named_ranges,3,3
calamine-styled,named_ranges,3,
rust_xlsxwriter,named_ranges,,3
pycalumya,tables,3,3
calamine-styled,tables,3,
rust_xlsxwriter,tables,,3
